Leitura,Data 
2.324,2018-11-14 11:55:37
2.329,2018-11-14 11:55:41
2.334,2018-11-14 11:55:46
2.339,2018-11-14 11:55:51
2.334,2018-11-14 11:55:56
2.319,2018-11-14 11:56:00
2.329,2018-11-14 11:56:05
2.339,2018-11-14 11:56:10
2.354,2018-11-14 11:56:14
2.358,2018-11-14 11:56:19
2.358,2018-11-14 11:56:24
2.358,2018-11-14 11:56:29
2.358,2018-11-14 11:56:33
2.363,2018-11-14 11:56:38
2.368,2018-11-14 11:56:43
2.363,2018-11-14 11:56:47
2.363,2018-11-14 11:56:52
2.368,2018-11-14 11:56:57
2.358,2018-11-14 11:57:02
2.368,2018-11-14 11:57:06
2.363,2018-11-14 11:57:11
2.358,2018-11-14 11:57:16
2.329,2018-11-14 11:57:21
2.148,2018-11-14 11:57:25
2.153,2018-11-14 11:57:30
1.88,2018-11-14 11:57:35
2.192,2018-11-14 11:57:39
2.217,2018-11-14 11:57:44
2.085,2018-11-14 11:57:49
2.192,2018-11-14 11:57:54
2.271,2018-11-14 11:57:58
2.319,2018-11-14 11:58:03
2.344,2018-11-14 11:58:08
2.339,2018-11-14 11:58:12
2.324,2018-11-14 11:58:17
2.354,2018-11-14 11:58:22
2.363,2018-11-14 11:58:27
2.368,2018-11-14 11:58:31
2.354,2018-11-14 11:58:36
2.363,2018-11-14 11:58:41
2.368,2018-11-14 11:58:46
2.368,2018-11-14 11:58:50
2.383,2018-11-14 11:58:55
2.388,2018-11-14 11:59:00
2.393,2018-11-14 11:59:04
2.393,2018-11-14 11:59:09
2.407,2018-11-14 11:59:14
2.402,2018-11-14 11:59:19
2.388,2018-11-14 11:59:23
2.358,2018-11-14 11:59:28
2.383,2018-11-14 11:59:33
2.383,2018-11-14 11:59:37
2.368,2018-11-14 11:59:42
2.3,2018-11-14 11:59:47
2.007,2018-11-14 11:59:52
2.173,2018-11-14 11:59:56
2.104,2018-11-14 12:00:01
1.836,2018-11-14 12:00:06
1.865,2018-11-14 12:00:10
1.846,2018-11-14 12:00:15
1.846,2018-11-14 12:00:20
1.885,2018-11-14 12:00:25
1.934,2018-11-14 12:00:29
1.86,2018-11-14 12:00:34
2.007,2018-11-14 12:00:39
2.061,2018-11-14 12:00:44
2.173,2018-11-14 12:00:48
2.075,2018-11-14 12:00:53
1.885,2018-11-14 12:00:58
2.251,2018-11-14 12:01:02
2.334,2018-11-14 12:01:07
2.363,2018-11-14 12:01:12
2.363,2018-11-14 12:01:17
2.363,2018-11-14 12:01:21
2.354,2018-11-14 12:01:26
2.314,2018-11-14 12:01:31
2.192,2018-11-14 12:01:35
2.188,2018-11-14 12:01:40
2.231,2018-11-14 12:01:45
2.109,2018-11-14 12:01:50
1.919,2018-11-14 12:01:54
1.807,2018-11-14 12:01:59
1.987,2018-11-14 12:02:04
2.095,2018-11-14 12:02:09
2.134,2018-11-14 12:02:13
2.09,2018-11-14 12:02:18
2.124,2018-11-14 12:02:23
2.08,2018-11-14 12:02:27
2.046,2018-11-14 12:02:32
1.865,2018-11-14 12:02:37
1.968,2018-11-14 12:02:42
2.134,2018-11-14 12:02:46
2.109,2018-11-14 12:02:51
2.114,2018-11-14 12:02:56
1.992,2018-11-14 12:03:00
2.148,2018-11-14 12:03:05
2.197,2018-11-14 12:03:10
2.227,2018-11-14 12:03:15
2.236,2018-11-14 12:03:19
2.246,2018-11-14 12:03:24
2.251,2018-11-14 12:03:29
2.251,2018-11-14 12:03:34
2.251,2018-11-14 12:03:38
2.256,2018-11-14 12:03:43
2.256,2018-11-14 12:03:48
2.256,2018-11-14 12:03:52
2.251,2018-11-14 12:03:57
2.246,2018-11-14 12:04:02
2.251,2018-11-14 12:04:07
2.266,2018-11-14 12:04:11
2.266,2018-11-14 12:04:16
2.246,2018-11-14 12:04:21
2.241,2018-11-14 12:04:25
2.222,2018-11-14 12:04:30
2.163,2018-11-14 12:04:35
2.134,2018-11-14 12:04:40
2.144,2018-11-14 12:04:44
2.119,2018-11-14 12:04:49
2.134,2018-11-14 12:04:54
2.134,2018-11-14 12:04:59
2.163,2018-11-14 12:05:03
2.168,2018-11-14 12:05:08
2.192,2018-11-14 12:05:13
2.231,2018-11-14 12:05:17
2.241,2018-11-14 12:05:22
2.236,2018-11-14 12:05:27
2.241,2018-11-14 12:05:32
2.231,2018-11-14 12:05:36
2.197,2018-11-14 12:05:41
2.134,2018-11-14 12:05:46
2.129,2018-11-14 12:05:50
2.212,2018-11-14 12:05:55
2.231,2018-11-14 12:06:00
2.227,2018-11-14 12:06:05
2.207,2018-11-14 12:06:09
2.192,2018-11-14 12:06:14
2.119,2018-11-14 12:06:19
1.87,2018-11-14 12:06:23
1.797,2018-11-14 12:06:28
1.953,2018-11-14 12:06:33
1.934,2018-11-14 12:06:38
1.953,2018-11-14 12:06:42
2.012,2018-11-14 12:06:47
2.095,2018-11-14 12:06:52
2.173,2018-11-14 12:06:57
2.202,2018-11-14 12:07:01
2.202,2018-11-14 12:07:06
2.197,2018-11-14 12:07:11
2.217,2018-11-14 12:07:15
2.222,2018-11-14 12:07:20
2.227,2018-11-14 12:07:25
2.212,2018-11-14 12:07:30
2.197,2018-11-14 12:07:34
2.168,2018-11-14 12:07:39
