Leitura,Data
1.006,2018-11-14 11:56:48
1.001,2018-11-14 11:56:52
1.001,2018-11-14 11:56:57
1.006,2018-11-14 11:57:02
1.006,2018-11-14 11:57:07
1.001,2018-11-14 11:57:11
1.001,2018-11-14 11:57:16
0.981,2018-11-14 11:57:21
0.864,2018-11-14 11:57:25
0.869,2018-11-14 11:57:30
0.757,2018-11-14 11:57:35
0.898,2018-11-14 11:57:40
0.908,2018-11-14 11:57:44
0.84,2018-11-14 11:57:49
0.894,2018-11-14 11:57:54
0.947,2018-11-14 11:57:58
0.967,2018-11-14 11:58:03
0.981,2018-11-14 11:58:08
0.986,2018-11-14 11:58:13
0.977,2018-11-14 11:58:17
0.996,2018-11-14 11:58:22
1.011,2018-11-14 11:58:27
1.006,2018-11-14 11:58:32
0.996,2018-11-14 11:58:36
0.996,2018-11-14 11:58:41
1.001,2018-11-14 11:58:46
1.001,2018-11-14 11:58:50
1.011,2018-11-14 11:58:55
1.021,2018-11-14 11:59:00
1.011,2018-11-14 11:59:05
1.016,2018-11-14 11:59:09
1.021,2018-11-14 11:59:14
1.025,2018-11-14 11:59:19
1.016,2018-11-14 11:59:23
1.006,2018-11-14 11:59:28
1.006,2018-11-14 11:59:33
1.006,2018-11-14 11:59:38
1.001,2018-11-14 11:59:42
0.952,2018-11-14 11:59:47
0.801,2018-11-14 11:59:52
0.894,2018-11-14 11:59:57
0.825,2018-11-14 12:00:01
0.703,2018-11-14 12:00:06
0.718,2018-11-14 12:00:11
0.718,2018-11-14 12:00:15
0.703,2018-11-14 12:00:20
0.737,2018-11-14 12:00:25
0.757,2018-11-14 12:00:30
0.708,2018-11-14 12:00:34
0.801,2018-11-14 12:00:39
0.83,2018-11-14 12:00:44
0.884,2018-11-14 12:00:48
0.825,2018-11-14 12:00:53
0.737,2018-11-14 12:00:58
0.933,2018-11-14 12:01:03
0.981,2018-11-14 12:01:07
1.006,2018-11-14 12:01:12
1.001,2018-11-14 12:01:17
0.996,2018-11-14 12:01:22
0.986,2018-11-14 12:01:26
0.977,2018-11-14 12:01:31
0.889,2018-11-14 12:01:36
0.903,2018-11-14 12:01:40
0.918,2018-11-14 12:01:45
0.835,2018-11-14 12:01:50
0.742,2018-11-14 12:01:55
0.698,2018-11-14 12:01:59
0.781,2018-11-14 12:02:04
0.845,2018-11-14 12:02:09
0.869,2018-11-14 12:02:13
0.845,2018-11-14 12:02:18
0.864,2018-11-14 12:02:23
0.835,2018-11-14 12:02:28
0.82,2018-11-14 12:02:32
0.728,2018-11-14 12:02:37
0.776,2018-11-14 12:02:42
0.869,2018-11-14 12:02:47
0.854,2018-11-14 12:02:51
0.85,2018-11-14 12:02:56
0.791,2018-11-14 12:03:01
0.869,2018-11-14 12:03:05
0.898,2018-11-14 12:03:10
0.923,2018-11-14 12:03:15
0.933,2018-11-14 12:03:20
0.938,2018-11-14 12:03:24
0.928,2018-11-14 12:03:29
0.938,2018-11-14 12:03:34
0.928,2018-11-14 12:03:38
0.933,2018-11-14 12:03:43
0.942,2018-11-14 12:03:48
0.947,2018-11-14 12:03:53
0.938,2018-11-14 12:03:57
0.938,2018-11-14 12:04:02
0.942,2018-11-14 12:04:07
0.938,2018-11-14 12:04:11
0.933,2018-11-14 12:04:16
0.928,2018-11-14 12:04:21
0.928,2018-11-14 12:04:26
0.918,2018-11-14 12:04:30
0.884,2018-11-14 12:04:35
0.864,2018-11-14 12:04:40
0.859,2018-11-14 12:04:45
0.864,2018-11-14 12:04:49
0.864,2018-11-14 12:04:54
0.864,2018-11-14 12:04:59
0.879,2018-11-14 12:05:03
0.889,2018-11-14 12:05:08
0.913,2018-11-14 12:05:13
0.933,2018-11-14 12:05:18
0.923,2018-11-14 12:05:22
0.928,2018-11-14 12:05:27
